Type,ID,Name,Description,URL,Tags,Societies,Year,Standard Status,Technical Committees,Keywords
Periodical,1521-334X,"Electronics Packaging Manufacturing, IEEE Transactions on  ","Design for manufacturability, cost and process modeling, process control and automation, factory analysis and improvement, information systems, statistical methods, environmentally-friendly processing, and computer-integrated manufacturing for the production of electronic assemblies, products, and systems.",http://ieeexplore.ieee.org/servlet/opac?punumber=6104    ,,CPMT,,,,Accelerator Technology
Periodical,1521-3331,"Components and Packaging Technologies, IEEE Transactions on ","Component parts, hybrid microelectronics, materials, packaging techniques, and manufacturing technology.",http://ieeexplore.ieee.org/servlet/opac?punumber=6144    ,,CPMT ,,,,Accelerator Technology
Periodical,0894-6507,"Semiconductor Manufacturing, IEEE Transactions on","Addresses innovations of interest to the integrated circuit manufacturing researcher and professional. Includes advanced process control, equipment modeling and control, yield analysis and optimization, defect control, and manufacturability improvement. It also addresses factory modelling and simulation, production planning and scheduling, as well as environmental issues in semiconductor manufacturing.",http://ieeexplore.ieee.org/servlet/opac?punumber=66    ,,"CPMT, ED, R, SSC",,,,Manufacturing (Circuits and Devices)
Periodical,1521-3323,"Advanced Packaging, IEEE Transactions on","The IEEE Transactions on Advanced Packaging has its focus on the modeling, design, and analysis of advanced electronic, photonic, sensors, and MEMS packaging.",http://ieeexplore.ieee.org/servlet/opac?punumber=6040,,"CPMT, PHOT",,,,Accelerator Technology
Periodical,0018-9286,"Automatic Control, IEEE Transactions on","The theory, design and application of Control Systems. It shall encompass components, and the integration of these components, as are necessary for the construction of such systems. The word `systems' as used herein shall be interpreted to include physical, biological, organizational and other entities and combinations thereof, which can be represented through a mathematical symbolism. The Field of Interest: shall include scientific, technical, industrial or other activities that contribute to this field,or utilize the techniques or products of this field, subject, as the art develops, to additions, subtractions, or other modifications directed or approved by the IEEE Technical Activities Board.",http://ieeexplore.ieee.org/servlet/opac?punumber=9,,CS,,,,General/Other (Control Automation)
Periodical,0272-1708,"Control Systems Magazine, IEEE","The magazine covers theory, analysis, design (computer-aided design), and practical implementation of circuits, and the application of circuit theoretic techniques to systems and to signal processing. Content is written for the spectrum of activities from basic scientific theory to industrial applications.",http://ieeexplore.ieee.org/servlet/opac?punumber=37    ,,CS,,,,General/Other (Control Automation)
Periodical,1063-6536,"Control Systems Technology, IEEE Transactions on","Serves as a compendium for papers on the technological advances in control engineering and as an archival publication which will bridge the gap between theory and practice. Papers will highlight the latest knowledge, exploratory developments, and practical applications in all aspects of the technology needed to implement control systems from analysis and design through simulation and hardware.",http://ieeexplore.ieee.org/servlet/opac?punumber=87    ,,CS,,,,General/Other (Control Automation)
Periodical,1070-9878,"Dielectrics and Electrical Insulation, IEEE Transactions on ",Electrical insulation common to the design and construction of components and equipment for use in electric and electronic circuits and distribution systems at all frequencies.,http://ieeexplore.ieee.org/servlet/opac?punumber=94    ,,DEI,,,,"Power Dielectrics, Insulation and Safety"
Periodical,0883-7554,"Electrical Insulation Magazine, IEEE","The magazine covers theory, analysis, design (computer-aided design), and practical implementation of circuits, and the application of circuit theoretic techniques to systems and to signal processing. Content is written for the spectrum of activities from basic scientific theory to industrial applications.",http://ieeexplore.ieee.org/servlet/opac?punumber=57    ,,DEI,,,,"Power Dielectrics, Insulation and Safety"
Periodical,1530-4388,"Device and Materials Reliability, IEEE Transactions on","Provides leading edge information that is critical to the creation of reliable electronic devices and materials, and a focus for interdisciplinary communication in the state of the art of reliability of electronic devices, and the materials used in their manufacture. It focuses on the reliability of electronic, optical, and magnetic devices, and microsystems; the materials and processes used in the manufacture of these devices; and the interfaces and surfaces of these materials. (electronic) (4) (IEEE Guide for Authors) The scope of the publication includes, but is not limited to Reliability of: devices, materials, processes, interfaces, integrated microsystems (MEMS and sensors), transistors, technology (CMOS, BiCMOS, etc.), integrated circuits (IC, SSI, MSI, LSI, ULSI, ELSI, etc.), thin film transistor applications.",http://ieeexplore.ieee.org/servlet/opac?punumber=7298,,"ED, R",,,,Electron Devices
Periodical,1551-319X,"Display Technology, Journal of","This publication covers the theory, design, fabrication, manufacturing and application of information displays and aspects of display technology that emphasize the progress in device engineering, device design, materials, electronics, physics and reliabilityaspects of displays and the application of displays.",http://ieeexplore.ieee.org/servlet/opac?punumber=9425,,ED,,,,N/A
Periodical,0741-3106,"Electron Device Letters, IEEE","Publishes original and significant contributions relating to the theory, design, performance and reliability of electron devices, including optoelectronic devices, nanoscale devices, solid-state devices, integrated electronic devices, energy sources, power devices, displays, sensors, electro-mechanical devices, quantum devices and electron tubes.",http://ieeexplore.ieee.org/servlet/opac?punumber=55    ,,ED,,,,Electron Devices
Periodical,0018-9383,"Electron Devices, IEEE Transactions on","Publishes original and significant contributions relating to the theory, design, performance and reliability of electron devices, including optoelectronics devices, nanoscale devices, solid-state devices, integrated electronic devices, energy sources, power devices, displays, sensors, electro-mechanical devices, quantum devices and electron tubes.",http://ieeexplore.ieee.org/servlet/opac?punumber=16    ,,ED,,,,Electron Devices
Periodical,0018-9359,"Education, IEEE Transactions on","Educational methods, technology, and programs; history of technology; impact of evolving research on education.",http://ieeexplore.ieee.org/servlet/opac?punumber=13    ,,E,,,,Education
Periodical,1932-4545,"Biomedical Circuits and Systems, IEEE Transactions on","The Transactions on Biomedical Circuits and Systems addresses areas at the crossroads of Circuits and Systems and Life Sciences. The main emphasis is on microelectronic issues in a wide range of applications found in life sciences, physical sciences and engineering. The primary goal of the journal is to bridge the unique scientific and technical activities of the Circuits and Systems Society to a wide variety of related areas such as: • Bioelectronics • Implantable and wearable electronics like cochlear and retinal prosthesis, motor control, etc. • Biotechnology sensor circuits, integrated systems, and networks • Micropower imaging technology • BioMEMS • Lab-on-chip Bio-nanotechnology • Organic Semiconductors • Biomedical Engineering • Genomics and Proteomics • Neuromorphic Engineering • Smart sensors • Low power micro- and nanoelectronics • Mixed-mode system-on-chip • Wireless technology • Gene circuits and molecular circuits • System biology • Brain science and engineering: such as neuro-informatics, neural prosthesis, cognitive engineering, brain computer interface. • Healthcare: information technology for biomedical, epidemiology, and other related life science applications. General, theoretical, and application-oriented papers in the abovementioned technical areas with a Circuits and Systems perspective are encouraged to publish in TBCAS. Of special interest are biomedical-oriented papers with a Circuits and Systems angle.",http://ieeexplore.ieee.org/servlet/opac?punumber=4156126,,EMB,,,,N/A
Periodical,0018-9294,"Biomedical Engineering, IEEE Transactions on","Broad coverage of concepts and methods of the physical and engineering sciences applied in biology and medicine, ranging from formalized mathematical theory through experimental science and technological development to practical clinical applications.",http://ieeexplore.ieee.org/servlet/opac?punumber=10,,EMB,,,,Biomedical
Periodical,0739-5175,"Engineering in Medicine and Biology Magazine, IEEE","Both general and technical articles on current technologies and methods used in biomedical and clinical engineering; societal implications of medical technologies; current news items; book reviews; patent descriptions; and correspondence. Special interest departments, students, law, clinical engineering, ethics, new products, society news, historical features and government.",http://ieeexplore.ieee.org/servlet/opac?punumber=51,,EMB,,,,Biomedical
Periodical,1534-4320,"Neural Systems and Rehabilitation Engineering, IEEE Transactions on","Rehabilitation aspects of biomedical engineering, including functional electrical stimulation, acoustic dynamics, human performance measurement and analysis, nerve stimulation, electromyography, motor control and stimulation, and hardware and software applications for rehabilitation engineering and assistive devices.",http://ieeexplore.ieee.org/servlet/opac?punumber=7333    ,,EMB,,,,Biomedical
Periodical,0278-0062,"Medical Imaging, IEEE Transactions on",Imaging methods applied to living organisms with emphasis on innovative approaches that use emerging technologies supported by rigorous physical and mathematical analysis and quantitative evaluation of performance.,http://ieeexplore.ieee.org/servlet/opac?punumber=42    ,,"EMB, NPS, SP, UFFC ",,,,Biomedical
Periodical,0018-9375,"Electromagnetic Compatibility, IEEE Transactions on",EMC standards; measurement technology; undesired sources; cable/grounding; filters/shielding; equipment EMC; systems EMC; antennas and propagation; spectrum utilization; electromagnetic pulses; lightning; radiation hazards; and Walsh functions,http://ieeexplore.ieee.org/servlet/opac?punumber=15    ,,EMC,,,,Electromagnetic Compatibility
Periodical,0360-8581,"Engineering Management Review, IEEE","Reprints articles from other publications of significant interest to members. The papers are aimed at those engaged in managing research, development, or engineering activities. Reprints make it possible for the readers to receive the best of today's literature without having to subscribe to and read other periodicals.",http://ieeexplore.ieee.org/servlet/opac?punumber=46    ,,TMC,,,,Engineering Management
Periodical,0018-9391,"Engineering Management, IEEE Transactions on","Management of technical functions such as research, development, and engineering in industry, government, university, and other settings. Emphasis is on studies carried on within an organization to help in decision making or policy formation for RD&E.",http://ieeexplore.ieee.org/servlet/opac?punumber=1,,TMC,,,,Accelerator Technology
Periodical,1545-598X,"Geoscience and Remote Sensing Letters, IEEE","It is expected that GRS Letters will apply to a wide range of remote sensing activities looking to publish shorter, high-impact papers. Topics covered will remain within the IEEE Geoscience and Remote Sensing Society’s field of interest: the theory, concepts, and techniques of science and engineering as they apply to the sensing of the earth, oceans, atmosphere, and space; and the processing, interpretation, and dissemination of this information. Particular emphasis will be given to papers which include multi-media presentations such as animations.",http://ieeexplore.ieee.org/servlet/opac?punumber=8859,,GRS,,,,"General/Other (Geoscience, Ocean Technology and Remote Sensing)"
Periodical,0196-2892,"Geoscience and Remote Sensing, IEEE Transactions on","Theory, concepts, and techniques of science and engineering as applied to sensing the earth, oceans, atmosphere, and space; and the processing, interpretation, and dissemination of this information.",http://ieeexplore.ieee.org/servlet/opac?punumber=36    ,,GRS,,,,"General/Other (Geoscience, Ocean Technology and Remote Sensing)"
Periodical,1094-6969,"Instrumentation & Measurement Magazine, IEEE",Applications-oriented material in the field of instrumentation and measurement.,http://ieeexplore.ieee.org/servlet/opac?punumber=5289    ,,IM,,,,Accelerator Technology
Periodical,0018-9456,"Instrumentation and Measurement, IEEE Transactions on",Measurements and instrumentation utilizing electrical and electronic techniques.,http://ieeexplore.ieee.org/servlet/opac?punumber=19    ,,IM,,,,"General/Other (Instrumentation, Measurement and Testing)"
Periodical,1077-2618,"Industry Applications Magazine, IEEE","This magazine publishes articles concerning technical subjects and professional activities that are within the scope of IAS and are of interest to society members. The information includes but is not limited to articles, product reviews, book reviews, new standards, education information, announcements of conferences, workshops, new publications, committee meetings and reports of IAS activities.",http://ieeexplore.ieee.org/servlet/opac?punumber=2943    ,,IAS,,,, Industry
Periodical,0093-9994,"Industry Applications, IEEE Transactions on","The development and application of electric systems, apparatus, devices, and controls to the processes and equipment of industry and commerce; the promotion of safe, reliable, and economic installations; the encouragement of energy conservation; the creation of voluntary engineering standards and recommended practices.",http://ieeexplore.ieee.org/servlet/opac?punumber=28    ,,IAS,,,,Industry
Periodical,1932-4529,"Industrial Electronics Magazine, IEEE","The IEEE Industrial Electronics Magazine (IEM) publishes peer-reviewed articles that present emerging trends and practices in industrial electronics product research and development, key insights, and tutorial surveys in the field of interest to the membership of the Industrial Electronics Society (IEEE/IES). IEM will be limited to the scope of the IES which is given as theory and applications of electronics, controls, communications, instrumentation and computational intelligence to industrial and manufacturing systems and processes.",http://ieeexplore.ieee.org/servlet/opac?punumber=4154573    ,,IE,,,,N/A
Periodical,0278-0046,"Industrial Electronics, IEEE Transactions on","Theory and applications of industrial electronics and control instrumentation science and engineering, including microprocessor control systems, high-power controls, process control, programmable controllers, numerical and program control systems, flow meters, and identification systems.",http://ieeexplore.ieee.org/servlet/opac?punumber=4154573    ,,IE,,,,N/A
Periodical,0278-6648,"Potentials, IEEE","This award-winning magazine for technology professionals explores career strategies, the latest research and important technical developments. IEEE Potentials covers theories to practical applications and highlights technology's global impact.",http://ieeexplore.ieee.org/servlet/opac?punumber=45,,TAB,,,,General/Other (Interdisciplinary)
Periodical,0018-9219,Proceedings of the IEEE,"The most highly-cited general interest journal in electrical engineering and computer science, the Proceedings is the best way to stay informed on an exemplary range of topics. This journal also holds the distinction of having the longest useful archival life of any EE or computer related journal in the world! Since 1913, the Proceedings of the IEEE has been the leading journal to provide in-depth tutorial and review coverage of the technical developments that shape our world.",http://ieeexplore.ieee.org/servlet/opac?punumber=5  ,,TAB,,,,General/Other (Interdisciplinary)
Periodical,0018-9235,"Spectrum, IEEE","IEEE Spectrum Magazine, the flagship publication of the IEEE, explores the development, applications and implications of new technologies. It anticipates trends in engineering, science, and technology, and provides a forum for understanding, discussion and leadership in these areas. IEEE Spectrum is the world's leading engineering and scientific magazine. Read by over 300,000 engineers worldwide, Spectrum provides international coverage of all technical issues and advances in computers, communications, and electronics. Written in clear, concise language for the non-specialist, Spectrum's high editorial standards and worldwide resources ensure technical accuracy and state-of-the-art relevance.",http://ieeexplore.ieee.org/servlet/opac?punumber=6,,TAB,,,,Accelerator Technology
Periodical,0840-8688,"Electrical and Computer Engineering, Canadian Journal of","The Canadian Journal of Electrical and Computer Engineering, issued quarterly, has been publishing high-quality refereed scientific papers in all areas of electrical and computer engineering since 1976. Sponsored by IEEE Canada (The Institute of Electrical and Electronics Engineers, Inc., Canada) as a part of its role to provide scientific and professional activity for its members in Canada, the CJECE complements international journals and will be of particular interest to anyone involved in research and development activities in the field of electrical and computer engineering.",http://ieeexplore.ieee.org/servlet/opac?punumber=9754    ,,TAB,,,,General/Other (interdisciplinary)
Periodical,0018-9448,"Information Theory, IEEE Transactions on","The fundamental nature of the communication process; storage, transmission and utilization of information; coding and decoding of digital and analog communication transmissions; study of random interference and information-bearing signals; and the development of information-theoretic techniques in diverse areas, including data communication and recording systems, communication networks, cryptography, detection systems, pattern recognition, learning, and automata.",http://ieeexplore.ieee.org/servlet/opac?punumber=18,,IT,,,,Information Theory
Periodical,1524-9050,"Intelligent Transportation Systems, IEEE Transactions on","The theoretical, experimental and operational aspects of electrical and electronics engineering and information technologies as applied to Intelligent Transportation Systems (ITS). Intelligent Transportation Systems are defined as those systems utilizing synergistic technologies and systems engineering concepts to develop and improve transportation systems of all kinds. The scope of this interdisciplinary activity includes the promotion, consolidation and coordination of ITS technical activities among IEEE entities, and providing a focus for cooperative activities, both internally and externally.",http://ieeexplore.ieee.org/servlet/opac?punumber=6979    ,,ITS,,,,N/A
Periodical,0018-9464,"Magnetics, IEEE Transactions on","Science and technology related to the basic physics and engineering of magnetism, magnetic materials, applied magnetics, magnetic devices, and magnetic data storage. The Transactions publishes scholarly articles of archival value as well as tutorial expositions and critical reviews of classical subjects and topics of current interest.",http://ieeexplore.ieee.org/servlet/opac?punumber=20    ,,MAG,,,,Accelerator Technology
Periodical,1531-1309,"Microwave and Wireless Components Letters, IEEE ","Published monthly with the purpose of providing fast publication of original and significant contributions relevant to all aspects of microwave/millimeter-wave technology. Emphasis is on devices, components, circuits, guided-wave structures, systems and applications covering the frequency spectrum from microwave and beyond, including submillimeter-waves and infrared.",http://ieeexplore.ieee.org/servlet/opac?punumber=7260    ,,MTT,,,,Microwave
Periodical,1527-3342,"Microwave Magazine, IEEE","Focuses on applications of technical knowledge. IEEE Microwave Magazine concentrates on general-interest, applications-oriented articles as well as technical articles in the field of microwave theory and techniques including components, devices, circuits, and systems involving the generation, modulation, demodulation, control, transmission and detection of microwaves.",http://ieeexplore.ieee.org/servlet/opac?punumber=6668    ,,MTT,,,,Microwave
Periodical,0018-9480,"Microwave Theory and Techniques, IEEE Transactions on","Microwave theory, techniques, and applications as they relate to components, devices, circuits, and systems involving the generation, transmission, and detection of microwaves.",http://ieeexplore.ieee.org/servlet/opac?punumber=22,,MTT,,,,Accelerator Technology
Periodical,1932-4537,"Network and Service Management, IEEE Transactions on","The online-only IEEE Transactions on Network and Service Management (TNSM) will be committed to the timely publication of archival-quality papers that advance the state-of-the-art and practical applications of network and service management. Both theoretical research contributions (presenting new concepts and techniques) and applied contributions (reporting on experiences and experiments with actual systems) will be encouraged. This Transactions will focus on the key technical issues related to (a) Management Models, Architectures and Frameworks, (b) Service Provisioning, Reliability and Quality Assurance, (c) Management Functions, (d) Enabling Technologies for Management, (e) Information and Communication Models, (f) Policies, and (g) Management Applications and Case Studies.",http://ieeexplore.ieee.org/servlet/opac?punumber=4275028    ,,COM,,,,N/A
Periodical,1932-4510,"Nanotechnology Magazine, IEEE","The scope of the Nanotechnology Magazine is all aspects of nanotechnology including theory, analysis, design, implementation, and applications related to creation of materials, devices, structures, etc. by manipulating matter at the nanometer length scale and taking advantage of novel (physical, chemical, electrical, mechanical, optical, magnetic, biological..) properties which arise solely due to the nanometer scale. Contents are written at a general level aimed at a broad audience. The magazine publishs articles covering new research and developments toward a broad audience, tutorials, and surveys in the field of nanotechnology in addition to industry news, research news, education news, policy news, opinion pieces, book reviews, updates on people, introduction to new tools and techniques, funding and meetings news, patent summary, and commercialization.",http://ieeexplore.ieee.org/servlet/opac?punumber=4451717    ,,NANO,,,,N/A
Periodical,0018-9499,"Nuclear Science, IEEE Transactions on","All aspects of the theory and applications of nuclear science and engineering, including instrumentation for the detection and measurement of ionizing radiation; particle accelerators and their controls; nuclear medicine and its application; effects of radiation on materials, components, and systems; reactor instrumentation and controls; and measurement of radiation in space.",http://ieeexplore.ieee.org/servlet/opac?punumber=23    ,,NPS,,,,General/Other (Nuclear and Plasma Science)
Periodical,0093-3813,"Plasma Science, IEEE Transactions on","Plasma science and engineering, including: magnetofluid dynamics and thermionics; plasma dynamics; gaseous electronics and arc technology; controlled thermonuclear fusion; electron, ion, and plasma sources; space plasmas; high-current relativistic electron beams; laser-plasma interactions; diagnostics; plasma chemistry and colloidal and solid-state plasmas.",http://ieeexplore.ieee.org/servlet/opac?punumber=27    ,,NPS,,,,Plasma Science and Applications
Periodical, 1536-125X,"Nanotechnology, IEEE Transactions on","The proposed IEEE Transactions on Nanotechnology will be devoted to the publication of manuscripts of archival value in the general area of nanotechnology, that is rapidly emerging as one of the fastest growing and most promising new technological developments for the next generation and beyond.",http://ieeexplore.ieee.org/servlet/opac?punumber=7729    ,,NANO,,,,General/Other (General Interest)
Periodical,0364-9059,"Oceanic Engineering, IEEE Journal of",Bayes procedures; buried-object detection; dielectric measurements; Doppler measurements; geomagnetism; sea floor; sea ice; sea measurements; sea surface electromagnetic scattering; seismology; sonar; acoustic tomography; underwater acoustics; and underwater radio communication.,http://ieeexplore.ieee.org/servlet/opac?punumber=48  ,,OE,,,,Oceanic
Periodical,0361-1434,"Professional Communication, IEEE Transactions on","The study, development, improvement, and promotion of techniques for preparing, organizing for use, processing, editing, collecting, conserving, and disseminating any form of information in the electrical and electronics fields.",http://ieeexplore.ieee.org/servlet/opac?punumber=47    ,,PC,,,,Professional Communication
Periodical,0885-8993,"Power Electronics, IEEE Transactions on","Fundamental technologies used in the control and conversion of electric power. Topics include dc-to- dc converter design, direct off-line switching power supplies, inverters, controlled rectifiers, control techniques, modeling, analysis and simulation techniques, the application of power circuit components (power semiconductors, magnetics, capacitors), and thermal performance of electronic power systems.",http://ieeexplore.ieee.org/servlet/opac?punumber=63    ,,PEL,,,,Accelerator Technology
Periodical,0885-8969,"Energy Conversion, IEEE Transaction on","Research, development, design, application, construction, installation, and operation of electric power generating facilities (along with their conventional, nuclear, or renewable sources) for the safe, reliable, and economic generation of electrical energy for general industrial, commercial, public, and domestic consumption, and electromechanical energy conversion for the use of electrical energy",http://ieeexplore.ieee.org/servlet/opac?punumber=60,,PE,,,,Power Generation
Periodical,1540-7977,"Power and Energy Magazine, IEEE","This magazine is devoted to all aspects of the electric power field involving planning, design, construction, operation, maintenance, and control of power systems.",http://ieeexplore.ieee.org/servlet/opac?punumber=8014    ,,PE,,,,General/Other (Power and Energy)
Periodical,0885-8977,"Power Delivery, IEEE Transactions on","Research, development, design, application, construction, the installation and operation of apparatus, equipment, structures, materials, and systems for the safe, reliable, and economic delivery and control of electric energy for general industrial, commercial, public, and domestic consumption.",http://ieeexplore.ieee.org/servlet/opac?punumber=61    ,,PE,,,,General/Other (Power and Energy)
Periodical,0885-8950,"Power Systems, IEEE Transactions on","Requirements, planning, analysis, reliability, operation, and economics of electrical generating, transmission, and distribution systems for industrial, commercial, public, and domestic consumption.",http://ieeexplore.ieee.org/servlet/opac?punumber=59    ,,PE,,,,General/Other (Power and Energy)
Periodical,1041-1135,"Photonics Technology Letters, IEEE","Rapid publication of original research relevant to photonics technology. This expanding field emphasizes laser and electro-optic technology, laser physics and systems, applications, and photonic/ lightwave components and applications. The journal offers short, archival publication with minimal delay.",http://ieeexplore.ieee.org/servlet/opac?punumber=68  ,,PHOT,,,,General/Other (Optics and Optoelectronics)
Periodical,0018-9197,"Quantum Electronics, IEEE Journal of","Generation, amplification, modulation, detection, waveguiding, or techniques and effects that can affect the propagation characteristics of coherent electromagnetic radiation having submillimeter and shorter wavelengths",http://ieeexplore.ieee.org/servlet/opac?punumber=3,,PHOT,,,,General/Other (Optics and Optoelectronics)
Periodical,1077-260X,"Selected Topics in Quantum Electronics, IEEE Journal of","40% devoted to special issues published in J. Quantum Electronics. Other topics: solid-state lasers, fiber lasers, optical diagnostics for semi-conductor manufacturing, and ultraviolet lasers and applications.",http://ieeexplore.ieee.org/servlet/opac?punumber=2944,,PHOT,,,,General/Other (Optics and Optoelectronics)
Periodical,0018-9529,"Reliability, IEEE Transactions on","Principles and practices of reliability, maintainability, and product liability pertaining to electrical and electronic equipment.",http://ieeexplore.ieee.org/servlet/opac?punumber=24    ,,R,,,,Reliability and Quality
Periodical,1545-5955,"Automation Science and Engineering, IEEE Transactions on ","The IEEE Transactions on Automation Sciences and Engineering (T-ASE) publishes fundamental papers on Automation, emphasizing scientific results that advance efficiency, quality, productivity, and reliability. T-ASE encourages interdisciplinary approaches from computer science, control systems, electrical engineering, mathematics, mechanical engineering, operations research, and other fields. We welcome results relevant to industries such as agriculture, biotechnology, healthcare, home automation, maintenance, manufacturing, pharmaceuticals, retail, security, service, supply chains, and transportation. T-ASE addresses a research community willing to integrate knowledge across disciplines and industries. For this purpose, each paper shall include a Note to Practitioners that summarizes how its results can be applied or how they might be extended to apply in practice.",http://ieeexplore.ieee.org/servlet/opac?punumber=8856    ,,RA,,,,Robotics & Automation
Periodical,1070-9932,"Robotics & Automation Magazine, IEEE","It will build upon the existing newsletter base by adding high quality technical articles in the areas of: applied research, state of the shelf solutions and technologies, and education. Articles will be targeted toward the practicing engineer. Creative solutions to real-world problems will be emphasized. Implementation details will be highlighted. Tutorials will provide the technical and historical knowledge required to appreciate how theory evolved into actual products and systems and insight into new theoretical developments.",http://ieeexplore.ieee.org/servlet/opac?punumber=100    ,,RA,,,,General/Other (Control Automation)
Periodical,1552-3098,"Robotics, IEEE Transactions on","Publishes fundamental papers on all aspects of Robotics, featuring interdisciplinary approaches from computer science, control systems, electrical engineering, mathematics, mechanical engineering, and other fields. Robots and intelligent machines and systems are critical in areas such as industrial applications; service and personal assistants; surgical operations; space, underwater, and remote exploration; entertainment; safety, search, and rescue; military applications; agriculture applications; and intelligent vehicles. Special emphasis in the T-RO is placed on intelligent machines and systems for unstructured environments, where a significant portion of the environment is unknown and cannot be directly sensed or controlled.",http://ieeexplore.ieee.org/servlet/opac?punumber=8860  ,,RA,,,,Robotics
Periodical,1548-0992,"Latin America Transactions, IEEE (Revista IEEE America Latina)","The IEEE Region 9 is releasing the IEEE Latin America Transactions to enable the publication of non-published and technically excellent papers from Latin American engineers, in Spanish or Portuguese languages. Engineers and researchers from Portugal and Spain (and others countries with the same language) are also very welcome to submit their proposals.",http://ieeexplore.ieee.org/servlet/opac?punumber=9907,,TAB,,,,N/A
Periodical,1530-437X,"Sensors Journal, IEEE","The Field of Interest of the IEEE Sensors Journal is the science and applications of sensing phenomena, including theory, design, and application of devices for sensing and transducing physical, chemical, and biological phenomena. The emphasis is on the electronics, physics, biology, and intelligence aspects of sensors and integrated sensor-actuators. (IEEE Guide for Authors) (The fields of interest of the IEEE Sensors Journal shall be the theory, design, fabrication, manufacturing and application of devices for sensing and transducing physical, chemical and biological phenomena, with emphasis on the electronics and physical aspects of sensors and integrated sensor-actuators).",http://ieeexplore.ieee.org/servlet/opac?punumber=7361    ,,SEN,,,,"General/Other (Instrumentation, Measurement and Testing)"
Periodical,1083-4427,"Systems, Man and Cybernetics, Part A, IEEE Transactions on","Systems engineering, including efforts that involve issue formnaulations, issue analysis and modeling, and decision making and issue interpretation at any of the life-cycle phases associated with the definition, development, and implementation of large systems. It will also include efforts that relate to systems management, systems engineering processes and a variety of systems engineering methods such as optimization, modeling and simulation. Human system and human organizational interactions, including cognitive ergonomics, system test and evaluation, and human information processing concerns in systems and organizations.",http://ieeexplore.ieee.org/servlet/opac?punumber=3468    ,,SMC,,,,Control Systems
Periodical,1083-4419,"Systems, Man, and Cybernetics, Part B, IEEE Transactions on","The scope of the IEEE Transactions on Systems, Man and Cybernetics Part B: Cybernetics includes computational approaches to the field of cybernetics. Specifically, the transactions welcomes papers on communication and control across machines or between machines, humans, and organizations. The scope of Part B includes such areas as computational intelligence, computer vision, neural networks, genetic algorithms, machine learning, fuzzy systems, cognitive systems, decision making, and robotics, to the extent that they contribute to the theme of cybernetics or demonstrate an application of cybernetics principles.",http://ieeexplore.ieee.org/servlet/opac?punumber=3477    ,,SMC,,,,Accelerator Technology
Periodical,1094-6977,"Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on","Applications, review, and tutorial papers within the scope of the Systems, Man and Cybernetics Society. Currently, this covers: (1) Integration of the theories of communication, control cybernetics, stochastics, optimization and system structure towards the formulation of a general theory of systems; (2) Development of systems engineering technology including problem definition methods, modeling, and stimulation, methods of systems experimentation, human factors engineering data and methods, systems design techniques and test and evaluation methods; and (3) Application of the above at both hardware and software levels to the analysis and design of biological, ecological, socio-economic, social service, computer information, and operational man-machine systems.",http://ieeexplore.ieee.org/servlet/opac?punumber=5326,,SMC,,,,Control Systems
Periodical,1558-7916,"Audio, Speech, and Language Processing, IEEE Transactions on","Speech analysis, synthesis, coding speech recognition, speaker recognition, language modeling, speech production and perception, speech enhancement. In audio, transducers, room acoustics, active sound control, human audition, analysis/synthesis/coding of music, and consumer audio. (8) (IEEE Guide for Authors) The scope for the proposed transactions includes SPEECH PROCESSING - Transmission and storage of Speech signals; speech coding; speech enhancement and noise reduction; speech analysis and synthesis; speech and speaker recognition; speech production and perception; speech system evaluation and Language modeling. AUDIO AND ELECTROACOUSTICS - transducers, active sound control and acoustic noise reduction; psychoacoustics and perception; aids for the handicapped; high quality audio; signal processing for music; audio measurement techniques; hardware for sound processing.",http://ieeexplore.ieee.org/servlet/opac?punumber=10376    ,,SP,,,,Speech and Audio Processing
Periodical,1057-7149,"Image Processing, IEEE Transactions on","Signal-processing aspects of image processing, imaging systems, and image scanning, display, and printing. Includes theory, algorithms, and architectures for image coding, filtering, enhancement, restoration, segmentation, and motion estimation; image formation in tomography, radar, sonar, geophysics, astronomy, microscopy, and crystallography; image scanning, digital half-toning and display, andcolor reproduction.",http://ieeexplore.ieee.org/servlet/opac?punumber=83    ,,SP,,,,Image Processing
Periodical,1556-6013,"Information Forensics and Security, IEEE Transactions on","Research on the fundamental contributions and the mathematics behind information forensics, information seurity, surveillance, and systems applications that incorporate these features.",http://ieeexplore.ieee.org/servlet/opac?punumber=10206  ,,SP,,,,General/Other (Signal Processing)
Periodical,1932-4553,"Selected Topics in Signal Processing, IEEE Journal of","The Journal of Selected Topics in Signal Processing (J-STSP) solicits special issues on topics that cover the entire scope of the IEEE Signal Processing Society, as outlined in the SPS Constitution, Article II. J-STSP only publishes papers that are submitted in response to a specific Call-for-Papers. These calls are listed on the J-STSP website, and instructions for submitting papers to a particular special issue can be found on the Information for Authors webpage. The procedure for preparing and submitting a proposal for a special issue can be found on the Submitting a Proposal webpage. All special issue proposals are evaluated by our Senior Editorial Board for relevance, timeliness, technical merit, impact, and general interest to the Society.",http://ieeexplore.ieee.org/servlet/opac?punumber=4200690    ,,SP,,,,N/A
Periodical,1070-9908,"Signal Processing Letters, IEEE",Rapid dissemination of new results in signal processing world-wide.,http://ieeexplore.ieee.org/servlet/opac?punumber=97    ,,SP,,,,General/Other (Signal Processing)
